,ME,R,measured_displacement,t,axis,dimension,filename,from,position,rsa_axis,to,true_displacement,displacement_error
0,0.058128354430758665,"[[0.9999995464527996, -0.0001249960490838275, -0.0009441769877917317], [0.00012546338865377846, 0.9999998696529485, 0.0004949272911500971], [0.0009441150007650703, -0.0004950455263216845, 0.9999994317882349]]",9.83500492609425,"[0.00983500492609425, 0.011727071910198929, 0.013904070550564388]",x,0,delta x at isocenter.yaml,dx0,isocenter,Ant-Post,dx50,50.0,-40.16499507390575
1,0.044530309759523344,"[[0.999999612941099, -0.000222308895186942, -0.000851291024664627], [0.00022250032856783777, 0.999999949982408, 0.00022478608799069113], [0.0008512410101384456, -0.00022497541351812925, 0.999999612387328]]",94.60155332222949,"[0.0946015533222295, 0.007173625325337288, -0.001944132034066933]",x,0,delta x at isocenter.yaml,dx0,isocenter,Ant-Post,dx100,100.0,-5.398446677770508
2,0.047850654951465614,"[[0.9999995014414285, -0.00015425700626206024, -0.0009865706618672082], [0.00015447111630688913, 0.9999999645352455, 0.00021695202487264555], [0.0009865371605087604, -0.00021710431338068954, 0.9999994898049439]]",137.69524615669988,"[0.13769524615669987, 0.004977605606256928, -0.007153373476354223]",x,0,delta x at isocenter.yaml,dx0,isocenter,Ant-Post,dx150,150.0,-12.30475384330012
3,0.05042769943133723,"[[0.9999997151547875, 0.0001396169346825722, -0.0007417529608851012], [-0.0001394049527833334, 0.9999999494340036, 0.00028582905580591347], [0.0007417928299543078, -0.00028572557035201786, 0.9999996840520972]]",161.26491564485792,"[0.16126491564485793, 0.01579111053859959, 0.004466972694091612]",x,0,delta x at isocenter.yaml,dx0,isocenter,Ant-Post,dx200,200.0,-38.73508435514208
4,0.04200013204176637,"[[0.9999997622285722, 0.00020598652948252227, -0.0006581127180519909], [-0.0002059495014532651, 0.9999999772057967, 5.633123597531704e-05], [0.0006581243065259978, -5.6195684595168084e-05, 0.9999997818571974]]",226.63833769504447,"[0.22663833769504446, 0.0123873918793862, -0.01078273113967449]",x,0,delta x at isocenter.yaml,dx0,isocenter,Ant-Post,dx250,250.0,-23.36166230495553
5,0.04366897420577621,"[[0.9999996143375219, 0.00048677515168835865, -0.0007310094103622719], [-0.0004866724617761124, 0.9999998716839943, 0.000140648179215391], [0.0007310777806014957, -0.00014029236282282474, 0.9999997229216271]]",264.48134130654717,"[0.26448134130654716, 0.0068432596272996575, 0.0007716395233217116]",x,0,delta x at isocenter.yaml,dx0,isocenter,Ant-Post,dx300,300.0,-35.518658693452835
6,0.041210703467291714,"[[0.9999996054618785, 0.0008857972076495455, -6.66287815692256e-05], [-0.0008858072088052145, 0.9999995963892092, -0.0001502231910579544], [6.649568739371873e-05, 0.00015028215204366315, 0.9999999864967991]]",314.79983662716245,"[0.31479983662716243, 0.008920509946105224, 0.0003236350438373032]",x,0,delta x at isocenter.yaml,dx0,isocenter,Ant-Post,dx350,350.0,-35.20016337283755
7,0.044140359163815465,"[[0.9999996779495459, 0.0006084949820925787, -0.0005232921377564699], [-0.0006084741727387824, 0.9999998140825901, 3.992451146559197e-05], [0.0005233163343325009, -3.960608885731761e-05, 0.9999998622856767]]",373.02079609222517,"[0.37302079609222516, 0.007116618109801975, 0.007549382841221227]",x,0,delta x at isocenter.yaml,dx0,isocenter,Ant-Post,dx400,400.0,-26.97920390777483
8,0.050215125166039355,"[[0.9999996245252898, 0.0008586619124471871, 0.00011682893224948955], [-0.0008586445094823788, 0.9999996202746894, -0.00014892979397745362], [-0.00011695676822857235, 0.0001488294235367988, 0.9999999820854583]]",436.25825055668855,"[0.43625825055668854, 0.003733578602941227, -0.002435655869510761]",x,0,delta x at isocenter.yaml,dx0,isocenter,Ant-Post,dx450,450.0,-13.741749443311448
9,0.07041893007522768,"[[0.9999976678228154, 0.002112790705035198, -0.0004477324731798381], [-0.00211297933037068, 0.9999976789362406, -0.00042123684670860114], [0.0004468414486697612, 0.0004221819137708263, 0.9999998110475578]]",518.1930558206567,"[0.5181930558206567, -0.001198741838629358, -0.003025953734923597]",x,0,delta x at isocenter.yaml,dx0,isocenter,Ant-Post,dx500,500.0,18.193055820656696
10,0.01957362636231596,"[[0.9999999909895528, -9.678207936207928e-05, 9.302753939813921e-05], [9.680722266007108e-05, 0.9999999587800222, -0.00027031151601863556], [-9.300137425274145e-05, 0.0002703205193206664, 0.9999999591387797]]",84.71508117643162,"[0.08471508117643163, -0.004540636036382345, -0.01584163861327324]",x,0,delta x at isocenter.yaml,dx50,isocenter,Ant-Post,dx100,50.0,34.715081176431624
11,0.02289584781210104,"[[0.9999999987009358, -2.866419643285161e-05, -4.214844891626775e-05], [2.8652464394235194e-05, 0.9999999608572013, -0.0002783246888013349], [4.215642522003796e-05, 0.0002783234807834092, 0.9999999603794371]]",127.80019720253122,"[0.12780019720253122, -0.00673521577269095, -0.02105152561133699]",x,0,delta x at isocenter.yaml,dx50,isocenter,Ant-Post,dx150,100.0,27.800197202531223
12,0.02493589171041047,"[[0.9999999444744883, 0.0002646153645936502, 0.00020255796767629808], [-0.00026457296488160265, 0.9999999430932335, -0.00020931955631655128], [-0.0002026133453198182, 0.00020926595333227348, 0.9999999575777959]]",151.42965562142916,"[0.15142965562142915, 0.0040620879851118764, -0.009435588986785806]",x,0,delta x at isocenter.yaml,dx50,isocenter,Ant-Post,dx200,150.0,1.4296556214291627
13,0.031395485851637914,"[[0.99999990388867, 0.00033192261931224554, 0.00028644375814338227], [-0.0003317968154430369, 0.9999998485387094, -0.0004391280356259078], [-0.00028658947128579074, 0.00043903295229395296, 0.9999998625582612]]",216.75065589933698,"[0.21675065589933698, 0.0006705926220190166, -0.02467893133250852]",x,0,delta x at isocenter.yaml,dx50,isocenter,Ant-Post,dx250,200.0,16.750655899336977
14,0.03589098804764749,"[[0.9999997898143432, 0.0006121082891522433, 0.00021376321463746078], [-0.0006120323678613191, 0.9999997496777789, -0.00035505036263819555], [-0.00021398049039789743, 0.0003549194580053471, 0.9999999141222601]]",254.60897650691194,"[0.25460897650691194, -0.004876312104027899, -0.013127192448940096]",x,0,delta x at isocenter.yaml,dx50,isocenter,Ant-Post,dx300,250.0,4.608976506911944
15,0.051044975259680866,"[[0.9999991021383737, 0.0010117974749310214, 0.0008786286569618326], [-0.0010112298764884155, 0.9999992799137296, -0.0006462090684064802], [-0.0008792818569773276, 0.0006453199926516432, 0.9999994052125848]]",304.9194352984327,"[0.3049194352984327, -0.002798453804580003, -0.013573087563332004]",x,0,delta x at isocenter.yaml,dx50,isocenter,Ant-Post,dx350,300.0,4.919435298432688
16,0.048221409515830836,"[[0.9999996421472259, 0.0007331869412725448, 0.00042206910587646885], [-0.0007329945169331335, 0.9999996274454852, -0.0004558814854674152], [-0.00042240319498470705, 0.000455571947989001, 0.9999998070148522]]",363.1848504029342,"[0.36318485040293425, -0.0046103611941136725, -0.006353451930489683]",x,0,delta x at isocenter.yaml,dx50,isocenter,Ant-Post,dx400,350.0,13.184850402934217
17,0.06927400382178603,"[[0.9999989500822114, 0.000984716810996576, 0.001063093258990188], [-0.0009840313945465066, 0.9999993077841878, -0.0006450684922736387], [-0.0010637277328891558, 0.0006440216978623731, 0.9999992268593827]]",426.36950475536344,"[0.42636950475536345, -0.00798135840095223, -0.016333903596288578]",x,0,delta x at isocenter.yaml,dx50,isocenter,Ant-Post,dx450,400.0,26.369504755363437
18,0.090916119919303,"[[0.9999973732159418, 0.0022375360348754233, 0.0004969846170338151], [-0.0022370785077277223, 0.9999970752141317, -0.0009192621673302149], [-0.0004990400456854617, 0.0009181479590209413, 0.9999994539815297]]",508.30766042214395,"[0.5083076604221439, -0.012913876934631623, -0.01692358550324156]",x,0,delta x at isocenter.yaml,dx50,isocenter,Ant-Post,dx500,450.0,58.307660422143954
